Index,Datetime,Q1,Q2,Q3,Q4
1,2024-09-12 11:11:53,2.473,2.003,3.375,2.085
2,2024-09-12 11:11:53,2.839,2.174,1.723,2.857
3,2024-09-12 11:11:53,2.303,1.571,2.34,1.577
4,2024-09-12 11:11:53,1.606,1.803,1.872,2.854
5,2024-09-12 11:11:54,3.227,2.51,1.621,1.894
6,2024-09-12 11:11:54,2.736,1.9,1.618,3.102
7,2024-09-12 11:11:54,1.591,3.332,1.511,2.791
8,2024-09-12 11:11:54,3.083,3.185,2.692,1.526
9,2024-09-12 11:11:54,3.406,2.742,2.824,2.536
10,2024-09-12 11:11:54,2.244,2.763,1.513,1.73
11,2024-09-12 11:11:54,2.468,2.119,3.149,3.086
12,2024-09-12 11:11:54,2.482,2.051,2.419,2.122
13,2024-09-12 11:11:54,2.764,2.693,1.775,1.922
14,2024-09-12 11:11:55,3.368,1.578,2.14,3.294
15,2024-09-12 11:11:55,3.137,3.26,1.671,1.935
16,2024-09-12 11:11:55,2.691,2.04,2.325,2.302
17,2024-09-12 11:11:55,1.854,2.689,2.62,2.772
18,2024-09-12 11:11:55,2.07,3.191,1.666,1.754
19,2024-09-12 11:11:55,1.589,3.152,3.375,2.015
20,2024-09-12 11:11:55,3.487,3.453,2.157,3.379
21,2024-09-12 11:11:55,2.209,2.047,3.392,2.833
22,2024-09-12 11:11:55,2.138,2.852,2.78,1.864
23,2024-09-12 11:11:56,3.288,2.16,3.33,2.96
24,2024-09-12 11:11:56,1.954,1.831,2.884,1.854
25,2024-09-12 11:11:56,1.827,2.858,2.639,2.619
26,2024-09-12 11:11:56,2.141,1.849,2.782,3.378
27,2024-09-12 11:11:56,2.956,3.272,3.464,2.711
28,2024-09-12 11:11:56,2.756,2.547,3.363,2.156
29,2024-09-12 11:11:56,2.662,2.994,3.143,2.242
30,2024-09-12 11:11:56,2.69,2.411,3.304,3.438
31,2024-09-12 11:11:56,2.223,1.629,3.355,3.086
32,2024-09-12 11:11:57,2.474,1.534,1.647,2.717
33,2024-09-12 11:11:57,2.058,2.046,2.151,1.793
34,2024-09-12 11:11:57,2.198,2.753,2.142,2.204
35,2024-09-12 11:11:57,3.203,3.003,2.905,2.135
36,2024-09-12 11:11:57,2.156,3.29,2.333,2.35
37,2024-09-12 11:11:57,1.534,2.508,3.324,2.408
38,2024-09-12 11:11:57,2.387,2.155,2.863,2.474
39,2024-09-12 11:11:57,2.691,2.647,3.202,1.768
40,2024-09-12 11:11:58,2.325,3.495,2.443,2.948
41,2024-09-12 11:11:58,3.37,3.231,1.659,2.334
42,2024-09-12 11:11:58,3.138,2.809,2.33,2.76
43,2024-09-12 11:11:58,3.018,2.288,2.467,3.262
44,2024-09-12 11:11:58,2.132,1.949,2.904,2.284
45,2024-09-12 11:11:58,3.033,2.265,2.468,1.564
46,2024-09-12 11:11:58,1.811,3.151,2.133,2.525
47,2024-09-12 11:11:58,1.988,2.155,1.603,3.282
48,2024-09-12 11:11:58,2.565,2.946,2.86,1.686
49,2024-09-12 11:11:59,3.192,2.661,2.39,2.137
50,2024-09-12 11:11:59,3.248,1.581,1.909,2.561
51,2024-09-12 11:11:59,2.022,3.032,1.897,3.1
52,2024-09-12 11:11:59,2.797,3.094,2.859,1.543
53,2024-09-12 11:11:59,2.056,3.14,1.748,2.713
54,2024-09-12 11:11:59,2.488,1.5,2.657,2.797
55,2024-09-12 11:11:59,3.246,1.692,2.854,1.841
56,2024-09-12 11:11:59,2.271,2.441,3.345,3.322
57,2024-09-12 11:11:59,2.798,2.747,1.772,2.747
58,2024-09-12 11:12:00,2.175,3.04,2.338,2.932
59,2024-09-12 11:12:00,2.072,2.12,2.441,1.5
60,2024-09-12 11:12:00,1.56,1.75,3.437,1.663
61,2024-09-12 11:12:00,1.68,1.755,2.982,1.54
62,2024-09-12 11:12:00,2.654,2.063,3.071,3.274
63,2024-09-12 11:12:00,2.087,1.898,2.627,2.965
64,2024-09-12 11:12:00,1.627,2.678,2.798,1.662
65,2024-09-12 11:12:00,3.022,2.275,2.072,2.389
66,2024-09-12 11:12:00,1.863,2.926,1.96,2.094
67,2024-09-12 11:12:01,1.775,2.117,2.287,3.046
68,2024-09-12 11:12:01,3.258,2.413,1.825,2.208
69,2024-09-12 11:12:01,1.698,3.107,2.242,1.642
70,2024-09-12 11:12:01,2.809,3.289,2.031,2.868
71,2024-09-12 11:12:01,3.166,2.731,3.327,3.437
72,2024-09-12 11:12:01,1.98,2.632,2.534,1.655
73,2024-09-12 11:12:01,2.639,2.444,3.45,3.297
74,2024-09-12 11:12:01,2.3,3.215,2.063,1.806
75,2024-09-12 11:12:01,2.036,3.148,2.323,2.098
76,2024-09-12 11:12:02,1.773,2.051,2.294,2.517
77,2024-09-12 11:12:02,1.82,3.06,2.057,1.639
78,2024-09-12 11:12:02,3.331,2.515,1.956,3.457
79,2024-09-12 11:12:02,2.057,2.49,1.552,2.508
80,2024-09-12 11:12:02,3.27,2.086,3.457,1.848
81,2024-09-12 11:12:02,1.724,1.832,2.783,2.48
82,2024-09-12 11:12:02,3.381,1.708,3.455,3.161
83,2024-09-12 11:12:02,3.363,1.527,3.496,2.521
84,2024-09-12 11:12:03,3.273,1.836,2.066,3.19
85,2024-09-12 11:12:03,2.669,2.602,2.951,2.452
86,2024-09-12 11:12:03,2.586,1.896,1.636,1.623
87,2024-09-12 11:12:03,1.827,2.233,3.45,2.893
88,2024-09-12 11:12:03,2.909,3.096,2.94,3.142
89,2024-09-12 11:12:03,1.974,3.031,2.456,2.934
90,2024-09-12 11:12:03,1.723,2.538,3.328,3.488
91,2024-09-12 11:12:03,2.227,3.009,2.29,2.172
92,2024-09-12 11:12:03,2.436,2.775,1.573,1.666
93,2024-09-12 11:12:04,2.556,2.579,2.978,3.284
94,2024-09-12 11:12:04,1.649,2.198,2.417,2.215
95,2024-09-12 11:12:04,1.672,3.464,2.156,2.394
96,2024-09-12 11:12:04,1.843,3.32,3.286,1.99
97,2024-09-12 11:12:04,3.041,2.928,2.092,2.714
