Index,Datetime,Q1,Q2,Q3,Q4
1,2024-08-31 17:00:58,2.072,2.084,1.511,2.833
2,2024-08-31 17:00:58,2.588,2.026,2.156,2.928
3,2024-08-31 17:00:58,2.323,2.502,2.343,2.684
4,2024-08-31 17:00:58,2.206,2.639,2.514,2.878
5,2024-08-31 17:00:58,2.193,2.615,2.414,2.95
6,2024-08-31 17:00:58,2.138,2.585,2.625,2.869
7,2024-08-31 17:00:58,1.981,2.698,2.402,2.588
8,2024-08-31 17:00:59,1.999,2.368,2.334,2.458
9,2024-08-31 17:00:59,1.976,2.231,2.179,2.291
10,2024-08-31 17:00:59,2.114,2.255,2.327,2.21
11,2024-08-31 17:00:59,2.197,2.327,2.135,2.207
12,2024-08-31 17:00:59,2.236,2.28,2.202,2.459
13,2024-08-31 17:00:59,2.474,2.442,2.158,2.555
14,2024-08-31 17:00:59,2.685,2.536,2.392,2.59
15,2024-08-31 17:00:59,2.754,2.509,2.534,2.559
16,2024-08-31 17:01:00,3.008,2.586,2.68,2.596
17,2024-08-31 17:01:00,2.914,2.484,2.876,2.653
18,2024-08-31 17:01:00,2.826,2.6,2.755,2.635
19,2024-08-31 17:01:00,2.91,2.494,2.644,2.486
20,2024-08-31 17:01:00,2.923,2.573,2.645,2.624
21,2024-08-31 17:01:00,2.702,2.348,2.767,2.664
22,2024-08-31 17:01:00,2.777,2.553,2.795,2.56
23,2024-08-31 17:01:00,2.744,2.5,2.931,2.839
24,2024-08-31 17:01:01,2.787,2.459,2.789,2.988
25,2024-08-31 17:01:01,2.761,2.338,2.724,2.673
26,2024-08-31 17:01:01,2.949,2.525,2.697,2.808
27,2024-08-31 17:01:01,2.829,2.291,2.516,2.646
28,2024-08-31 17:01:01,2.989,2.061,2.559,2.665
29,2024-08-31 17:01:01,2.661,2.258,2.767,2.72
30,2024-08-31 17:01:01,2.385,2.376,2.485,2.913
31,2024-08-31 17:01:01,2.204,2.492,2.306,2.656
32,2024-08-31 17:01:02,2.484,2.814,2.167,2.756
33,2024-08-31 17:01:02,2.52,2.826,2.261,2.49
34,2024-08-31 17:01:02,2.511,2.539,2.194,2.255
35,2024-08-31 17:01:02,2.66,2.478,2.423,2.015
36,2024-08-31 17:01:02,2.57,2.276,2.428,1.906
37,2024-08-31 17:01:02,2.273,2.17,2.459,2.047
38,2024-08-31 17:01:02,2.048,2.113,2.57,2.158
39,2024-08-31 17:01:02,2.234,2.238,2.325,2.206
40,2024-08-31 17:01:03,2.378,2.088,2.106,2.428
41,2024-08-31 17:01:03,2.34,2.122,2.034,2.534
42,2024-08-31 17:01:03,2.66,2.058,2.109,2.622
43,2024-08-31 17:01:03,2.567,2.342,2.049,2.656
44,2024-08-31 17:01:03,2.451,2.556,2.029,2.76
45,2024-08-31 17:01:03,2.451,2.845,2.299,2.889
46,2024-08-31 17:01:03,2.4,3.007,2.391,3.005
47,2024-08-31 17:01:03,2.282,2.849,2.455,2.839
48,2024-08-31 17:01:04,2.514,2.926,2.236,2.964
49,2024-08-31 17:01:04,2.4,2.783,2.364,2.913
50,2024-08-31 17:01:04,2.074,2.748,2.182,2.905
51,2024-08-31 17:01:04,2.197,2.802,2.37,2.847
52,2024-08-31 17:01:04,1.956,3.153,2.219,2.877
53,2024-08-31 17:01:04,1.867,3.132,2.241,2.648
54,2024-08-31 17:01:04,2.233,2.949,2.119,2.859
55,2024-08-31 17:01:04,2.366,2.653,2.318,2.638
56,2024-08-31 17:01:05,2.62,2.422,2.161,2.499
57,2024-08-31 17:01:05,2.83,2.257,2.164,2.484
58,2024-08-31 17:01:05,2.752,2.099,2.083,2.708
59,2024-08-31 17:01:05,2.494,2.432,2.194,2.402
60,2024-08-31 17:01:05,2.558,2.504,2.234,2.324
61,2024-08-31 17:01:05,2.374,2.676,2.358,2.606
62,2024-08-31 17:01:05,2.246,2.529,2.521,2.508
63,2024-08-31 17:01:05,2.343,2.584,2.723,2.376
64,2024-08-31 17:01:06,2.354,2.304,2.705,2.684
65,2024-08-31 17:01:06,2.453,2.536,2.499,2.794
66,2024-08-31 17:01:06,2.289,2.312,2.513,2.706
67,2024-08-31 17:01:06,2.559,2.478,2.605,2.75
68,2024-08-31 17:01:06,2.573,2.251,2.579,2.826
69,2024-08-31 17:01:06,2.745,2.235,2.608,2.573
70,2024-08-31 17:01:06,2.658,1.993,2.634,2.52
71,2024-08-31 17:01:06,2.932,2.26,2.639,2.409
72,2024-08-31 17:01:07,2.721,2.349,2.694,2.576
73,2024-08-31 17:01:07,2.817,2.496,2.51,2.406
74,2024-08-31 17:01:07,2.702,2.443,2.713,2.635
75,2024-08-31 17:01:07,2.584,2.491,2.624,2.802
76,2024-08-31 17:01:07,2.35,2.216,2.624,2.822
77,2024-08-31 17:01:07,2.492,2.264,2.509,2.572
78,2024-08-31 17:01:07,2.299,2.3,2.459,2.54
79,2024-08-31 17:01:07,2.364,2.67,2.383,2.368
80,2024-08-31 17:01:07,2.303,2.931,2.38,2.282
81,2024-08-31 17:01:08,2.458,2.892,2.406,2.281
82,2024-08-31 17:01:08,2.382,2.577,2.194,2.522
83,2024-08-31 17:01:08,2.369,2.471,2.377,2.398
84,2024-08-31 17:01:08,2.288,2.182,2.467,2.597
85,2024-08-31 17:01:08,2.391,2.017,2.491,2.411
86,2024-08-31 17:01:08,2.448,2.012,2.21,2.331
87,2024-08-31 17:01:08,2.633,2.081,2.199,2.32
88,2024-08-31 17:01:08,2.805,2.094,2.203,2.562
89,2024-08-31 17:01:09,3.029,2.004,1.992,2.494
90,2024-08-31 17:01:09,3.092,1.927,2.195,2.698
91,2024-08-31 17:01:09,3.003,2.248,2.201,2.946
92,2024-08-31 17:01:09,2.881,2.382,2.441,2.909
93,2024-08-31 17:01:09,2.858,2.344,2.509,2.768
94,2024-08-31 17:01:09,2.839,2.653,2.543,2.542
95,2024-08-31 17:01:09,2.94,2.813,2.257,2.35
96,2024-08-31 17:01:09,2.798,2.796,2.406,2.38
97,2024-08-31 17:01:10,2.827,2.923,2.207,2.165
98,2024-08-31 17:01:10,2.768,3.245,2.042,2.419
99,2024-08-31 17:01:10,2.716,3.193,1.965,2.501
100,2024-08-31 17:01:10,2.759,2.954,1.917,2.703
101,2024-08-31 17:01:10,2.996,2.824,1.937,2.613
102,2024-08-31 17:01:10,2.708,2.47,2.267,2.732
103,2024-08-31 17:01:10,2.695,2.199,2.318,2.615
104,2024-08-31 17:01:10,2.401,2.039,2.486,2.578
105,2024-08-31 17:01:11,2.191,2.199,2.673,2.539
106,2024-08-31 17:01:11,2.222,2.172,2.775,2.596
107,2024-08-31 17:01:11,2.21,2.458,2.678,2.554
108,2024-08-31 17:01:11,2.106,2.676,2.627,2.667
109,2024-08-31 17:01:11,2.323,2.823,2.461,2.889
110,2024-08-31 17:01:11,2.461,2.789,2.546,3.012
111,2024-08-31 17:01:11,2.475,2.844,2.368,2.81
112,2024-08-31 17:01:11,2.582,2.812,2.249,3.014
113,2024-08-31 17:01:12,2.78,2.598,2.332,2.976
114,2024-08-31 17:01:12,2.701,2.726,2.393,2.641
115,2024-08-31 17:01:12,2.736,2.814,2.437,2.679
116,2024-08-31 17:01:12,2.467,2.705,2.504,2.96
117,2024-08-31 17:01:12,2.606,2.621,2.583,2.76
118,2024-08-31 17:01:12,2.466,2.78,2.704,2.844
119,2024-08-31 17:01:12,2.64,2.654,2.627,3.029
120,2024-08-31 17:01:12,2.551,2.489,2.487,3.086
121,2024-08-31 17:01:13,2.608,2.671,2.352,2.847
122,2024-08-31 17:01:13,2.52,2.668,2.416,2.73
123,2024-08-31 17:01:13,2.659,2.669,2.312,2.596
124,2024-08-31 17:01:13,2.493,2.553,2.445,2.461
125,2024-08-31 17:01:13,2.365,2.783,2.59,2.097
