Index,Datetime,Q1,Q2,Q3,Q4
1,2024-09-12 13:07:42,2.061,3.39,2.293,3.397
2,2024-09-12 13:07:42,2.082,3.205,2.488,3.022
3,2024-09-12 13:07:42,2.047,2.885,2.641,2.779
4,2024-09-12 13:07:42,1.927,2.79,2.579,2.528
5,2024-09-12 13:07:42,2.133,2.901,2.716,2.44
6,2024-09-12 13:07:43,2.236,2.72,2.903,2.24
7,2024-09-12 13:07:43,2.317,2.623,2.845,2.288
8,2024-09-12 13:07:43,2.382,2.872,2.755,2.306
9,2024-09-12 13:07:43,2.466,2.961,2.585,2.301
10,2024-09-12 13:07:43,2.463,2.631,2.254,2.538
11,2024-09-12 13:07:43,2.399,2.756,2.165,2.378
12,2024-09-12 13:07:43,2.415,2.648,2.186,2.426
13,2024-09-12 13:07:44,2.321,2.536,2.168,2.424
14,2024-09-12 13:07:44,2.497,2.349,2.23,2.577
15,2024-09-12 13:07:44,2.217,2.326,2.293,2.517
16,2024-09-12 13:07:44,2.337,2.297,2.369,2.658
17,2024-09-12 13:07:44,2.428,2.477,2.329,2.497
18,2024-09-12 13:07:44,2.631,2.531,2.275,2.552
19,2024-09-12 13:07:44,2.381,2.564,2.552,2.567
20,2024-09-12 13:07:44,2.405,2.909,2.854,2.582
21,2024-09-12 13:07:45,2.515,2.96,2.584,2.433
22,2024-09-12 13:07:45,2.461,3.061,2.448,2.412
23,2024-09-12 13:07:45,2.229,3.047,2.631,2.263
24,2024-09-12 13:07:45,2.416,3.178,2.589,2.117
25,2024-09-12 13:07:45,2.463,3.037,2.533,2.194
26,2024-09-12 13:07:45,2.126,3.091,2.627,2.489
27,2024-09-12 13:07:45,2.142,3.104,2.797,2.513
28,2024-09-12 13:07:45,2.422,2.826,2.806,2.717
29,2024-09-12 13:07:45,2.241,2.779,2.555,2.923
30,2024-09-12 13:07:46,2.175,2.577,2.554,2.647
31,2024-09-12 13:07:46,2.197,2.263,2.501,2.414
32,2024-09-12 13:07:46,2.285,2.04,2.351,2.455
33,2024-09-12 13:07:46,2.002,2.247,2.091,2.312
34,2024-09-12 13:07:46,2.153,2.427,2.326,2.369
35,2024-09-12 13:07:46,2.408,2.469,2.318,2.551
36,2024-09-12 13:07:46,2.652,2.698,2.611,2.504
37,2024-09-12 13:07:46,2.588,2.535,2.653,2.536
38,2024-09-12 13:07:47,2.941,2.285,2.718,2.465
39,2024-09-12 13:07:47,2.855,2.096,2.786,2.312
40,2024-09-12 13:07:47,2.88,2.13,2.766,2.246
41,2024-09-12 13:07:47,2.597,1.895,2.459,2.556
42,2024-09-12 13:07:47,2.359,2.089,2.746,2.333
43,2024-09-12 13:07:47,2.154,2.412,2.976,2.383
44,2024-09-12 13:07:47,2.269,2.237,2.758,2.6
45,2024-09-12 13:07:47,2.074,2.217,2.489,2.601
46,2024-09-12 13:07:48,2.359,2.38,2.462,2.348
47,2024-09-12 13:07:48,2.547,2.252,2.345,2.556
